itemindex,model,context_id,context_string,response,relevance,reference,metouts
1,retrieval,,so i'm on the fifth floor ? how come this hotel has no fourth floor .,This is the first floor. The second floor is one level up.,0,"Oh wow, i did n't know about that.","{'Bleu_1': 8.33333333263889e-17, 'Bleu_2': 8.7038827970266e-17, 'Bleu_3': 9.11609179238116e-17, 'Bleu_4': 9.578464407697051e-17, 'METEOR': 0.03428571428571429, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5646785, 'EmbeddingAverageCosineSimilarity': 0.72598, 'EmbeddingAverageCosineSimilairty': 0.72598, 'VectorExtremaCosineSimilarity': 0.290108, 'GreedyMatchingScore': 0.596401}"
2,retrieval,,"so how did i do on my driving test ? <eot> do you want the truth ? <eot> of course , i do .",You did n't pass the test.,0.666666667,You passed! Congratulations!,"{'Bleu_1': 0.16666666663888907, 'Bleu_2': 5.773502690837786e-09, 'Bleu_3': 2.0274006647743935e-11, 'Bleu_4': 1.2909944484291948e-12, 'METEOR': 0.08327137546468401, 'ROUGE_L': 0.2364341085271318, 'CIDEr': 0.0, 'SkipThoughtCS': 0.54090625, 'EmbeddingAverageCosineSimilarity': 0.637977, 'EmbeddingAverageCosineSimilairty': 0.637977, 'VectorExtremaCosineSimilarity': 0.434309, 'GreedyMatchingScore': 0.61718}"
3,retrieval,,"hello , jack . i'm john . <eot> i'm glad to see you ! <eot> sit down , please . maybe you have read the contract , but i want to give you the details again before you sign the contract . you must have a three-month internship .","Oh, but mine is a three - year program.",0.5,Okay please tell me more about everything,"{'Bleu_1': 1.1111111109876545e-16, 'Bleu_2': 1.1785113018384495e-16, 'Bleu_3': 1.2565790683898578e-16, 'Bleu_4': 1.34851118576642e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.17768827, 'EmbeddingAverageCosineSimilarity': 0.646804, 'EmbeddingAverageCosineSimilairty': 0.646804, 'VectorExtremaCosineSimilarity': 0.295695, 'GreedyMatchingScore': 0.498789}"
4,retrieval,,"mr . james . i know that office hour is up now , but could you work during the weekend and finish the translations ? <eot> well , unfortunately i have got something to do this weekend . but let me see ... <eot> oh , i'm sorry . however , if you could help me out , i'll double the pay for the hours worked . <eot> that's very kind of you . how soon do you really need them ? <eot> i'll need them for the conference on monday afternoon . do you think it can be done by then ?","Yes, i suppose that's the best thing i can do for now. I'll be here on thursday morning at 10 o'clock. Is that all right?",0.666666667,Of course i can get that done,"{'Bleu_1': 0.11999999999520003, 'Bleu_2': 0.07071067811576745, 'Bleu_3': 6.012854886393523e-07, 'Bleu_4': 1.7729842263938849e-09, 'METEOR': 0.12972378635656207, 'ROUGE_L': 0.20866590649942987, 'CIDEr': 0.0, 'SkipThoughtCS': 0.18789762, 'EmbeddingAverageCosineSimilarity': 0.940524, 'EmbeddingAverageCosineSimilairty': 0.940524, 'VectorExtremaCosineSimilarity': 0.546596, 'GreedyMatchingScore': 0.730636}"
5,retrieval,,"do you remember what the ratings of movies stand for ? <eot> yes , g stands for general audiences , pg means parental guidance suggested , r is restricted to audiences under 18 and x means explicit content .",I see. And the quantities.,0.333333333,"Thank you very much, i have a teenage son.","{'Bleu_1': 0.08986579278749814, 'Bleu_2': 3.1772355737578207e-09, 'Bleu_3': 1.1477500776395998e-11, 'Bleu_4': 7.634297901288654e-13, 'METEOR': 0.041343669250646, 'ROUGE_L': 0.1358574610244989, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6263522, 'EmbeddingAverageCosineSimilarity': 0.886998, 'EmbeddingAverageCosineSimilairty': 0.886998, 'VectorExtremaCosineSimilarity': 0.475738, 'GreedyMatchingScore': 0.696819}"
6,retrieval,,"did it scare you ? <eot> of course not . i just thought the movie was ... boring . <eot> boring ? come on , you clutched to my arm all the time . <eot> well , i admit . the ghosts were scary . <eot> i like scary movies .",Why do n't you like horror? They're entertaining.,0.375,Of course you do . They are silly stories just for little kids like you .,"{'Bleu_1': 0.11809163815573087, 'Bleu_2': 2.8229300889126873e-09, 'Bleu_3': 8.560701969583568e-12, 'Bleu_4': 4.934115562488833e-13, 'METEOR': 0.0890387858347386, 'ROUGE_L': 0.1732954545454545, 'CIDEr': 0.0, 'SkipThoughtCS': 0.755289, 'EmbeddingAverageCosineSimilarity': 0.945229, 'EmbeddingAverageCosineSimilairty': 0.945229, 'VectorExtremaCosineSimilarity': 0.616274, 'GreedyMatchingScore': 0.792785}"
7,retrieval,,"want to send out for some chinese ? <eot> some what ? <eot> some chinese food . i'm hungry , and there's a take-out restaurant near here . we can have them deliver and then watch the news on tv while we eat . <eot> no , i'd rather go out . the chinese food here is rather different from what i had at home . maybe we can try some other food today ... what about that all-you-can-eat place we passed the other day , the one over in the shopping center ?","Oh yes, i know which one you mean. I have never been there, but i looked at their menu once and it did look good.",1,No. I prefer take out.,"{'Bleu_1': 0.039999999998400045, 'Bleu_2': 1.2909944486830907e-09, 'Bleu_3': 4.169080726515256e-12, 'Bleu_4': 2.395656561173847e-13, 'METEOR': 0.04519774011299435, 'ROUGE_L': 0.07577639751552796, 'CIDEr': 0.0, 'SkipThoughtCS': 0.66582024, 'EmbeddingAverageCosineSimilarity': 0.941229, 'EmbeddingAverageCosineSimilairty': 0.941229, 'VectorExtremaCosineSimilarity': 0.561847, 'GreedyMatchingScore': 0.742891}"
8,retrieval,,are you ready to go shopping ? <eot> not yet . i'm not finished with my research yet .,Oh yeah? What do you need to go shopping for?,0.666666667,When would you be free then?,"{'Bleu_1': 0.09999999999000012, 'Bleu_2': 3.333333332981484e-09, 'Bleu_3': 1.1157215833452826e-11, 'Bleu_4': 6.674094718242315e-13, 'METEOR': 0.08414957676328397, 'ROUGE_L': 0.13090128755364808, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6618073, 'EmbeddingAverageCosineSimilarity': 0.879929, 'EmbeddingAverageCosineSimilairty': 0.879929, 'VectorExtremaCosineSimilarity': 0.50361, 'GreedyMatchingScore': 0.724406}"
9,retrieval,,where does she live ? <eot> she lives in san francisco . <eot> how long has she lived there ? <eot> i think she's lived there for about 10 years . <eot> that's a long time . where did she live before that ?,She said that she's from a small town in the middle of america.,1,Before that she lived in ventura. It's kind of a small not so great of area.,"{'Bleu_1': 0.3664258420134506, 'Bleu_2': 0.15570104322543862, 'Bleu_3': 1.2050068582950142e-06, 'Bleu_4': 3.433101852194622e-09, 'METEOR': 0.14145105814781692, 'ROUGE_L': 0.2708102108768035, 'CIDEr': 0.0, 'SkipThoughtCS': 0.73326457, 'EmbeddingAverageCosineSimilarity': 0.960773, 'EmbeddingAverageCosineSimilairty': 0.960773, 'VectorExtremaCosineSimilarity': 0.61872, 'GreedyMatchingScore': 0.809777}"
10,retrieval,,"but christmas was two weeks ago ! it's been there only because we've been too busy to get rid of it . <eot> i know , but it seems like such a shame to have to take it away . <eot> but it's falling apart , and the cat keeps playing with the lower branches . <eot> i know , i know . but it reminds me of the great christmas we just had . all of us were here - - my parents , your parents , the kids , and the cousins - - the food was good , and everybody got what they wanted . <eot> yeah , it was a good christmas . it won't always be this good , but we can't make it last longer than it should .","Well, i guess we're all set for another merry christmas.",0.833333333,"Ok , fine . We need to take down the tree .","{'Bleu_1': 9.999999999e-17, 'Bleu_2': 1.0540925532781945e-16, 'Bleu_3': 1.1157215833452827e-16, 'Bleu_4': 1.186840521809983e-16, 'METEOR': 0.08817915116401197, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.70359606, 'EmbeddingAverageCosineSimilarity': 0.91117, 'EmbeddingAverageCosineSimilairty': 0.91117, 'VectorExtremaCosineSimilarity': 0.463735, 'GreedyMatchingScore': 0.702873}"
